"City","Type","RoomType","2023-11-07","2023-11-08","Reviews","HotelName"
"gulshan","4 star","Single","BDT 3,436","BDT 3,436","3.8","West Park Inn"
"gulshan","4 star","Single","BDT 3,926","BDT 3,926","3.9","Hotel Century Park"
"gulshan","4 star","Single","BDT 5,205","BDT 5,205","4.4","Omni Residency"
"gulshan","4 star","Single","BDT 6,063","BDT 9,826","4.3","After Hours Residence"
"gulshan","4 star","Single","BDT 6,695","GREAT DEAL
BDT 6,719
27% less than usual","4.2","Hotel Bengal Canary Park"
"gulshan","4 star","Single","BDT 9,826","BDT 6,063","4.0","Swiss Garden"
"gulshan","4 star","Single","BDT 9,295","BDT 6,300","4.5","Pearl Hotel"
"gulshan","4 star","Single","BDT 14,653","BDT 8,817","4.2","Hotel Bengal Blueberry"
"gulshan","4 star","Single","BDT 10,806","BDT 10,512","4.3","Platinum Grand"
"gulshan","4 star","Single","BDT 11,844","BDT 10,955","4.4","Golden Tulip The Grandmark Dhaka"
"gulshan","4 star","Single","BDT 9,914","BDT 11,844","4.3","Lakeshore Hotel Gulshan"
"gulshan","4 star","Single","BDT 12,461","BDT 12,461","4.3","Lakeshore Banani"
"gulshan","4 star","Single","BDT 15,469","BDT 15,469","4.2","Coventina Lake Suites"
"gulshan","4 star","Single","BDT 19,047","DEAL
BDT 19,047
17% less than usual","4.5","Space Apartments"
"gulshan","4 star","Double","BDT 3,818","BDT 3,818","3.8","West Park Inn"
"gulshan","4 star","Double","BDT 5,023","BDT 5,354","3.9","Hotel Century Park"
"gulshan","4 star","Double","GREAT DEAL
BDT 6,719
27% less than usual","BDT 7,589","4.4","Omni Residency"
"gulshan","4 star","Double","BDT 6,063","GREAT DEAL
BDT 6,719
26% less than usual","4.0","Swiss Garden"
"gulshan","4 star","Double","BDT 10,678","BDT 6,063","4.2","Hotel Bengal Canary Park"
"gulshan","4 star","Double","BDT 7,471","BDT 6,226","4.3","After Hours Residence"
"gulshan","4 star","Double","BDT 9,160","BDT 9,295","4.5","Pearl Hotel"
"gulshan","4 star","Double","BDT 10,806","BDT 10,512","4.2","Hotel Bengal Blueberry"
"gulshan","4 star","Double","BDT 14,653","BDT 12,461","4.3","Lakeshore Banani"
"gulshan","4 star","Double","BDT 15,269","BDT 14,653","4.3","Platinum Grand"
"gulshan","4 star","Double","BDT 15,469","BDT 13,228","4.3","Lakeshore Hotel Gulshan"
"gulshan","4 star","Double","BDT 13,972","BDT 15,469","4.2","Coventina Lake Suites"
"gulshan","4 star","Double","BDT 12,744","BDT 12,744","4.4","Golden Tulip The Grandmark Dhaka"
"gulshan","4 star","Double","BDT 18,786","BDT 17,133","4.4","THE WAY Dhaka"
"gulshan","4 star","Double","DEAL
BDT 19,032
25% less than usual","DEAL
BDT 19,032
20% less than usual","4.5","Space Apartments"
"gulshan","4 star","Triple","DEAL
BDT 7,158
25% less than usual","GREAT DEAL
BDT 7,158
34% less than usual","3.8","West Park Inn"
"gulshan","4 star","Triple","BDT 10,810","BDT 10,810","3.9","Hotel Century Park"
"gulshan","4 star","Triple","BDT 23,721","BDT 23,721","4.4","Omni Residency"
"gulshan","4 star","Triple","BDT 16,067","BDT 16,067","4.3","After Hours Residence"
"gulshan","4 star","Triple","BDT 38,801","BDT 21,121","4.0","Swiss Garden"
"gulshan","4 star","Triple","BDT 30,343","BDT 46,146","4.3","Platinum Grand"
"gulshan","4 star","Triple","BDT 23,169","BDT 32,982","4.2","Hotel Bengal Blueberry"
"gulshan","4 star","Triple","BDT 30,629","BDT 23,169","4.5","Pearl Hotel"
"gulshan","4 star","Triple","BDT 36,357","BDT 30,938","4.4","THE WAY Dhaka"
"gulshan","4 star","Triple","BDT 40,188","BDT 40,188","4.5","Space Apartments"
"gulshan","4 star","Family","BDT 12,473","BDT 12,473","3.9","Hotel Century Park"
"gulshan","4 star","Family","BDT 27,987","BDT 27,987","4.2","Coventina Lake Suites"
"gulshan","4 star","Family","BDT 23,169","BDT 21,121","4.3","Platinum Grand"
"gulshan","4 star","Family","BDT 30,343","BDT 23,169","4.2","Nascent Gardenia Suites"
"gulshan","4 star","Family","BDT 38,801","BDT 38,801","4.2","Hotel Bengal Blueberry"
"gulshan","4 star","Family","BDT 30,629","BDT 32,982","4.5","Pearl Hotel"
"gulshan","4 star","Family","BDT 48,641","BDT 30,938","4.3","Lakeshore Hotel Gulshan"
"gulshan","4 star","Family","BDT 39,154","BDT 46,146","4.4","THE WAY Dhaka"
"gulshan","4 star","Family","BDT 40,188","BDT 40,188","4.5","Space Apartments"
